! I stole/borrowed this list from Greg Thompson below at the UCAR RAP site. Thus all credit for making this very long
! list goes to him. I just deleted some headers and rearranged some stuff to improve searchability.
!
! Edited for use in ClimoBuilder by: Warren Pettee
!
! Original Content:
!
! Author: Greg Thompson  NCAR/RAP
!         please mail corrections to gthompsn (at) ucar (dot) edu
! Date: 20 Feb 2015
! This file is continuously maintained at:
! http://www.rap.ucar.edu/weather/surface/stations.txt
!
! This file is organized by state alphabetically, then by Canadian
! province and then all other stations.  The file was compiled from lists
! of the following:
!      METAR sites
!      NEXRADs
!      rawinsonde sites
!      wind profilers
!      WFOs, RFCs, NCEP-Centers
!      AIRMET/SIGMET station list (VORs?)
!      ARTCCs (Air Route Traffic Control Centers - FAA)
!      old SAO sites for archive data access  (flagged in a special manner)
!
!   Country abbreviations from ISO 3166
!   source:  ftp://ftp.fu-berlin.de/doc/iso/iso3166-countrycodes.txt
!   another: http://www.iso.org/iso/en/prods-services/iso3166ma/02iso-3166-code-lists/list-en1.html
!
!   CD = 2 letter state (province) abbreviation
!   STATION = 16 character station long name
!   ICAO = 4-character international id
!   IATA = 3-character (FAA) id
!   SYNOP = 5-digit international synoptic number
!   LAT = Latitude (degrees minutes)
!   LON = Longitude (degree minutes)
!   ELEV = Station elevation (meters)
!   M = METAR reporting station.   Also Z=obsolete? site
!   N = NEXRAD (WSR-88D) Radar site
!   V = Aviation-specific flag (V=AIRMET/SIGMET end point, A=ARTCC T=TAF U=T+V)
!   U = Upper air (rawinsonde=X) or Wind Profiler (W) site
!   A = Auto (A=ASOS, W=AWOS, M=Meso, H=Human, G=Augmented) (H/G not yet impl.)
!   C = Office type F=WFO/R=RFC/C=NCEP Center
!   Digit that follows is a priority for plotting (0=highest)
!   Country code (2-char) is last column
!
!23456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
!
CD,STATION,ICAO,IATA,SYNOP,LAT,LONG,ELEV,M,N,V,U,A,C,,
GA,NEWNAN,KCCO,CCO,,3319N,08446W,296,X,,,,,,7,US
GA,PEACHTREE/DEKALB,KPDK,PDK,,3353N,08418W,302,X,,T,,A,,7,US
GA,PEACHTREECITY,KFFC,FFC,72215,3321N,08434W,262,X,X,,X,A,F,1,US
GA,ATLANTARFC,KALR,ALR,,3322N,08434W,248,,,,,,R,8,US
GA,ROBINSAFB/88D,KJGX,JGX,,3241N,08321W,159,,X,,,,,8,US
GA,ROME,KRMG,RMG,72320,3421N,08510W,193,X,,,,A,,7,US
GA,SAVANNAH,KSAV,SAV,72207,3207N,08112W,14,X,,U,,A,,4,US
GA,SAVANNAH/HUNTER,KSVN,SVN,74780,3201N,08109W,13,X,,T,,,,6,US
GA,STATESBORO,KTBR,TBR,,3229N,08144W,57,X,,,,W,,7,US
GA,SWAINSBORO,KSBO,SBO,,3237N,08222W,100,X,,,,W,,8,US
GA,SYLVANIA,KJYL,JYL,,3239N,08136W,57,X,,,,W,,7,US
GA,TIFTON,KTMA,TMA,,3126N,08329W,109,X,,,,W,,8,US
GA,THOMASTONUPSON,KOPN,OPN,,3257N,08416W,243,X,,,,,,7,US
GA,THOMASVILLE,KTVI,TVI,,3054N,08353W,80,X,,,,W,,8,US
GA,TOCCOA,KTOC,TOC,,3436N,08318W,304,X,,,,,,8,US
GA,TOCCOAVOR,KODF,ODF,,3442N,08318W,567,,,V,,,,8,US
GA,VALDOSTAREGIONA,KVLD,VLD,,3047N,08316W,62,X,,T,,A,,6,US
GA,VIDALIAMUNI,KVDI,VDI,,3212N,08222W,84,X,,,,W,,7,US
GA,WARNERROBINSAF,KWRB,WRB,,3237N,08335W,90,X,,T,,,,6,US
GA,WASHINGTON,KIIY,IIY,,3347N,08249W,197,X,,,,W,,7,US
GA,WAYCROSS/WARECO,KAYS,AYS,72213,3115N,08224W,46,X,,,,,,7,US
GA,WINDER/BARROW,KWDR,WDR,,3359N,08340W,287,X,,,,,,7,US
GA,BLAKELYEARLYC,K11J,11J,,3124N,08454W,65,Z,,,,,,8,US
GA,CANTON/CHEROKEE,K47A,47A,,3419N,08425W,372,Z,,,,,,9,US
GA,SAVANNAHLIGHT,,,99438,3157N,08019W,1,Z,,,,,,8,US
HI,BARKINGSANDS/KA,PHBK,BKH,91162,2202N,15947W,8,X,,,,,,7,US
HI,BRADSHAWAAF/HAW,PHSF,BSF,,1946N,15533W,1887,X,,T,,,,6,US
HI,HANA,PHHN,HNM,91199,2048N,15601W,24,X,,,,,,7,US
HI,HICKAMAFB,PHIK,HIK,,2119N,15756W,4,X,,T,,,,8,US
HI,HICKAMAWC,PHWR,HWR,,2119N,15756W,4,,,,,,,8,US
HI,HILO,PHTO,ITO,91285,1943N,15503W,12,X,,T,X,A,,5,US
HI,HONOLULU,PHNL,HNL,91182,2120N,15755W,4,X,,T,,A,,6,US
HI,HONOLULU/WFO,PHFO,HFO,,2119N,15755W,4,,,,,,F,8,US
HI,HONOLULU/ARTCC,PZHN,ZHN,,2119N,15755W,4,,,A,,,,8,US
HI,KAANAPALI,PHKP,HKP,91189,2056N,15642W,3,,,,,,,8,US
HI,KAHULUI,PHOG,OGG,91190,2054N,15626W,12,X,,T,,A,,6,US
HI,KAILUA/KONA,PHKO,KOA,,1944N,15603W,27,X,,T,,A,,6,US
HI,KALAUPAPA,PHLU,LUP,,2113N,15658W,7,X,,,,,,7,US
HI,KAMUELA/WAIMEA,PHMU,MUE,,2000N,15540W,817,,,,,,,8,US
HI,KOHALA88D,PHKM,HKM,,2008N,15547W,1162,,X,,,,,8,US
HI,KANEOHEMCAS,PHNG,NGF,91176,2126N,15746W,3,X,,T,,,,6,US
HI,KOKEE,PHAC,HAC,91161,2209N,15939W,1280,,,,,,,8,US
HI,KALAELOA,PHJR,JRF,91178,2119N,15804W,15,X,,T,,,,6,US
HI,LAHAINA/WESTMAU,PHJH,JHM,,2058N,15640W,78,X,,T,,,,6,US
HI,LANAICITYAIRPO,PHNY,LNY,,2046N,15656W,399,X,,T,,,,6,US
HI,LIHUE/KAUAIIS,PHLI,LIH,91165,2158N,15920W,45,X,,T,X,,,5,US
HI,MOLOKAI/KUKUI,PHMO,HMO,,2108N,15711W,415,X,X,,,,,5,US
HI,MOLOKAI,PHMK,MKK,91186,2109N,15706W,141,X,,T,,A,,6,US
HI,NAALEHU/SHAWAII,PHWA,HWA,,1906N,15534W,421,,X,,,,,8,US
HI,NUMILA/SKAUAI,PHKI,HKI,,2154N,15933W,55,,X,,,,,8,US
HI,UPOLU,PHUP,UPP,,2016N,15552W,30,,,,,,,8,US
HI,PEARLHARBOR,PHNC,HNC,,2121N,15756W,1,,,,,,,8,US
HI,WHEELERAFB/OAHU,PHHI,HHI,91170,2129N,15803W,255,X,,T,,,,6,US
HI,FRFRIGATESHOAL,,1Z6,91155,2352N,16617W,2,Z,,,,,,8,US
HI,BARBERSPTNAS,PHNA,NAX,,2119N,15804W,15,Z,,,,,,8,US
HI,MIDWAYISLANDNA,PMDY,MDY,91066,2813N,17722W,4,X,,T,,,,6,US
IA,ALGONA,KAXA,AXA,,4304N,09416W,372,X,,,,W,,8,US
IA,AMES,KAMW,AMW,,4159N,09337W,279,X,,,,A,,7,US
IA,ANKENY,KIKV,IKV,,4141N,09334W,275,X,,,,W,,8,US
IA,ATLANTIC,KAIO,AIO,,4123N,09502W,360,X,,,,W,,8,US
IA,AUDUBON,KADU,ADU,,4142N,09455W,392,X,,,,W,,8,US
IA,BOONEMUNI,KBNW,BNW,,4202N,09350W,354,X,,,,W,,8,US
IA,BURLINGTON,KBRL,BRL,,4046N,09108W,211,X,,T,,A,,6,US
IA,CARROLL,KCIN,CIN,,4202N,09446W,375,X,,,,W,,8,US
IA,CEDARRAPIDS,KCID,CID,72545,4153N,09143W,264,X,,T,,A,,4,US
IA,CENTERVILLEMUNI,KTVK,TVK,,4041N,09254W,314,X,,,,,,8,US
IA,CHARITON,KCNC,CNC,,4101N,09322W,320,X,,,,W,,8,US
IA,CHARLESCITY,KCCY,CCY,,4304N,09237W,343,X,,,,W,,8,US
IA,CHEROKEE,KCKP,CKP,,4244N,09533W,374,X,,,,W,,8,US
IA,CLARINDA,KICL,ICL,,4043N,09501W,303,X,,,,W,,8,US
IA,CLARION,KCAV,CAV,,4245N,09346W,354,X,,,,W,,8,US
IA,CLINTONMUNI,KCWI,CWI,,4149N,09019W,216,X,,,,W,,8,US
IA,COUNCILBLUFFS,KCBF,CBF,,4116N,09546W,382,X,,,,W,,8,US
IA,CRESTON,KCSQ,CSQ,,4101N,09422W,394,X,,,,W,,8,US
IA,DAVENPORT/QUADC,KDVN,DVN,74455,4137N,09035W,230,X,X,,X,A,F,3,US
IA,DECORAH,KDEH,DEH,,4316N,09143W,353,X,,,,W,,8,US
IA,DENISON,KDNS,DNS,,4158N,09522W,388,X,,,,W,,8,US
IA,DESMOINES,KDSM,DSM,72546,4132N,09340W,295,X,,U,,A,,2,US
IA,DUBUQUE,KDBQ,DBQ,72547,4224N,09042W,326,X,,U,,A,,4,US
IA,ESTHERVILLE,KEST,EST,,4324N,09445W,401,X,,,,A,,7,US
IA,FAIRFIELD,KFFL,FFL,,4102N,09158W,244,X,,,,W,,8,US
IA,FORESTCITY,KFXY,FXY,,4314N,09337W,375,X,,,,,,8,US
IA,FORTDODGE,KFOD,FOD,72549,4232N,09410W,355,X,,U,,W,,6,US
IA,FORTMADISON,KFSW,FSW,,4040N,09119W,221,X,,,,W,,8,US
IA,GRINNELLREG,KGGI,GGI,,4143N,09244W,307,X,,,,W,,8,US
IA,HARLANMUNI,KHNR,HNR,,4135N,09520W,375,X,,,,W,,8,US
IA,INDEPENDENCE,KIIB,IIB,,4227N,09157W,298,X,,,,W,,8,US
IA,IOWACITY,KIOW,IOW,,4138N,09133W,198,X,,V,,A,,6,US
IA,IOWAFALLSMUNI,KIFA,IFA,,4228N,09316W,347,X,,,,W,,7,US
IA,JOHNSTON/DESMOIN,KDMX,DMX,,4144N,09343W,299,,X,,,,F,8,US
IA,KEOKUKMUNI,KEOK,EOK,,4028N,09125W,205,X,,,,W,,8,US
IA,KNOXVILLE,KOXV,OXV,,4117N,09307W,283,X,,,,W,,8,US
IA,LAMONI,KLWD,LWD,,4038N,09354W,346,X,,,,A,,7,US
IA,LAMONI,KLMN,LMN,,4036N,09358W,348,,,V,,,,8,US
IA,LEMARS,KLRJ,LRJ,,4246N,09612W,365,X,,,,W,,8,US
IA,MARSHALLTOWN,KMIW,MIW,,4207N,09255W,296,X,,,,A,,7,US
IA,MASONCITY,KMCW,MCW,,4309N,09320W,369,X,,U,,A,,6,US
IA,MONTICELLOMUNI,KMXO,MXO,,4213N,09110W,259,X,,,,W,,8,US
IA,MTPLEASANT,KMPZ,MPZ,,4057N,09131W,224,X,,,,W,,8,US
IA,MUSCATINE,KMUT,MUT,,4122N,09109W,167,X,,,,W,,8,US
IA,NEWTONMUNI,KTNU,TNU,,4140N,09301W,290,X,,,,W,,8,US
IA,OELWEN,KOLZ,OLZ,,4240N,09158W,328,X,,,,W,,8,US
IA,ORANGECITY,KORC,ORC,,4258N,09604W,431,X,,,,W,,8,US
IA,OSCEOLAMUNI,KI75,I75,,4103N,09341W,339,X,,,,,,8,US
IA,OSKALOOSAMUNI,KOOA,OOA,,4114N,09230W,256,X,,,,W,,8,US
IA,OTTUMWA,KOTM,OTM,,4106N,09227W,256,X,,T,,A,,6,US
IA,PELLA,KPEA,PEA,,4124N,09257W,270,X,,,,W,,8,US
IA,PERRYMUNI,KPRO,PRO,,4150N,09410W,308,X,,,,W,,8,US
IA,REDOAK,KRDK,RDK,,4101N,09516W,318,X,,,,W,,8,US
IA,SHELDON,KSHL,SHL,,4313N,09549W,432,X,,,,W,,8,US
IA,SHENANDOAHMUNI,KSDA,SDA,,4045N,09525W,296,X,,,,W,,8,US
IA,SIOUXCITY,KSUX,SUX,72557,4223N,09623W,338,X,,T,,A,,3,US
IA,SLATERPROFILER,,SLA,74449,4153N,09341W,315,,,,W,,,8,US
IA,SPENCER,KSPW,SPW,72650,4310N,09513W,403,X,,S,,A,,6,US
IA,STORMLAKE,KSLB,SLB,,4236N,09513W,454,X,,,,W,,8,US
IA,VINTON,KVTI,VTI,,4213N,09201W,255,X,,,,W,,8,US
IA,WASHINGTON,KAWG,AWG,,4116N,09140W,230,X,,,,W,,8,US
IA,WATERLOO,KALO,ALO,72548,4233N,09224W,264,X,,T,,A,,4,US
IA,WEBSTERCITY,KEBS,EBS,,4225N,09352W,342,X,,,,W,,8,US
IA,LAMONI,K0Y7,0Y7,,4038N,09354W,346,Z,,,,,,8,US
IA,LAMONI,K3OI,3OI,,4037N,09357W,342,Z,,,,,,8,US
IA,SPENCER,K3SE,3SE,,4310N,09509W,404,Z,,,,,,8,US
IA,ADAIRI80,XADA,,,4129N,09443W,450,X,,,,R,,9,US
IA,ALGONAUS18,XALG,,,4305N,09423W,337,X,,,,R,,9,US
IA,ALTONIA10,XATN,,,4249N,09605W,430,X,,,,R,,9,US
IA,ALTOONAI80/US65,XALT,,,4140N,09331W,262,X,,,,R,,9,US
IA,AMESI35,XAME,,,4202N,09334W,313,X,,,,R,,9,US
IA,ANKENYI35,XANK,,,4146N,09334W,264,X,,,,R,,9,US
IA,AVOCAI80,XAVO,,,4129N,09517W,377,X,,,,R,,9,US
IA,BURLINGTONUS34,XBUR,,,4049N,09105W,218,X,,,,R,,9,US
IA,CARROLLUS30,XCAR,,,4205N,09453W,389,X,,,,R,,9,US
IA,CEDARRAPIDS380,XCDR,,,4149N,09140W,236,X,,,,R,,9,US
IA,CEDARRAPIDUS30,XCID,,,4156N,09141W,246,X,,,,R,,9,US
IA,CENTERVILLEIA2,XCEN,,,4044N,09300W,295,X,,,,R,,9,US
IA,COUNCILBLUFF80,XCOU,,,4114N,09552W,268,X,,,,R,,9,US
IA,CRESTONUS34,XCRE,,,4104N,09418W,388,X,,,,R,,9,US
IA,DAVENPORT80/280,XDAV,,,4136N,09041W,206,X,,,,R,,9,US
IA,DECORAHIA9,XDEC,,,4314N,09141W,310,X,,,,R,,9,US
IA,DESMOINESI35,XDSM,,,4132N,09346W,224,X,,,,R,,9,US
IA,DESMOINESI235,XDES,,,4135N,09337W,281,X,,,,R,,9,US
IA,DESOTO80/US169,XDST,,,4132N,09406W,291,X,,,,R,,9,US
IA,DEWITTUS30/61,XDEW,,,4150N,09034W,240,X,,,,R,,9,US
IA,DUBUQUEUS20,XDUB,,,4229N,09044W,250,X,,,,R,,9,US
IA,FORTDODGEUS20,XFOD,,,4226N,09411W,286,X,,,,R,,9,US
IA,GRINNELLI80,XGRI,,,4141N,09244W,281,X,,,,R,,9,US
IA,IOWACITYUS218,XIAC,,,4138N,09135W,254,X,,,,R,,9,US
IA,IOWACITYI80,XIOW,,,4141N,09135W,250,X,,,,R,,9,US
IA,JEFFERSONIA4,XJEF,,,4203N,09423W,310,X,,,,R,,9,US
IA,LEONI35/IA2,XLEO,,,4044N,09350W,349,X,,,,R,,9,US
IA,MANCHESTERUS20,XMAN,,,4226N,09126W,309,X,,,,R,,9,US
IA,MAQUOKETA61/64,XMAQ,,,4204N,09041W,251,X,,,,R,,9,US
IA,MARSHALTOWNUS30,XMAR,,,4201N,09258W,291,X,,,,R,,9,US
IA,MASONCITYI35,XMCW,,,4302N,09320W,376,X,,,,R,,9,US
IA,MISSOURIVALI29,XMIS,,,4132N,09555W,309,X,,,,R,,9,US
IA,MTPLEASANTU218,XMOU,,,4053N,09133W,133,X,,,,R,,9,US
IA,NEWHAMPTONUS18,XNEW,,,4302N,09228W,327,X,,,,R,,9,US
IA,ONAWAI29,XONA,,,4152N,09601W,303,X,,,,R,,9,US
IA,OSCEOLAI35,XOSC,,,4102N,09347W,334,X,,,,R,,9,US
IA,OTTUMWAUS63,XOTT,,,4101N,09225W,196,X,,,,R,,9,US
IA,PELLAIA163,XPEL,,,4123N,09252W,271,X,,,,R,,9,US
IA,REDOAKUS34/71,XRED,,,4059N,09459W,290,X,,,,R,,9,US
IA,SIDNEYI29/IA2,XSID,,,4041N,09547W,287,X,,,,R,,9,US
IA,SIGOURNEYIA92,XSIG,,,4120N,09219W,202,X,,,,R,,9,US
IA,SIOUXCITYI29,XSIO,,,4229N,09623W,364,X,,,,R,,9,US
IA,SPENCERUS18,XSPE,,,4308N,09505W,452,X,,,,R,,9,US
IA,STORMLAKE71/3,XSTO,,,4244N,09509W,405,X,,,,R,,9,US
IA,TIPTONI80,XTIP,,,4138N,09108W,236,X,,,,R,,9,US
IA,URBANAI380,XURB,,,4219N,09159W,302,X,,,,R,,9,US
IA,WATERLOOUS20,XWAT,,,4227N,09219W,269,X,,,,R,,9,US
IA,WILLIAMSI35,XWIL,,,4232N,09334W,325,X,,,,R,,9,US
IA,WILLAIMSBURGI80,XWBG,,,4141N,09201W,260,X,,,,R,,9,US
IA,HANLONTOWNI35,XHAN,,,4323N,09320W,333,X,,,,R,,9,US
IA,STEAMBOATRUS20,XSBI,,,4227N,09303W,348,X,,,,R,,9,US
IA,IDAGROVEUS59,XIGI,,,4221N,09529W,376,X,,,,R,,9,US
IA,CEDARRAPIDSU30,XCRI,,,4156N,09133W,232,X,,,,R,,9,US
IA,BEDFORD,XBFI,,,4041N,09443W,357,X,,,,R,,9,US
IA,COLFAX,XCFI,,,4141N,09316W,247,X,,,,R,,9,US
IA,EDDYVILLE,XDYI,,,4109N,09239W,244,X,,,,R,,9,US
IA,SIBLEY,XSYI,,,4326N,09543W,480,X,,,,R,,9,US
IA,TAMA,XTMI,,,4158N,09218W,250,X,,,,R,,9,US
IA,CANTRIL,XCTI,,,4040N,09204W,211,X,,,,R,,9,US
IA,DENISON,XDNI,,,4155N,09520W,426,X,,,,R,,9,US
IA,PLAINFIELD,XPFI,,,4250N,09232W,294,X,,,,R,,9,US
IA,QUADCITIES,XQCI,,,4131N,09031W,177,X,,,,R,,9,US
IA,STATEFAIR,Q03I,,,4136N,09334W,333,X,,,,S,,9,US
IA,ADAIR,QADI,,,4131N,09435W,417,X,,,,S,,9,US
IA,ADEL,QAEI,,,4137N,09401W,292,X,,,,S,,9,US
IA,AFTON,QAFI,,,4102N,09411W,387,X,,,,S,,9,US
IA,ALGONA,QAGI,,,4304N,09414W,341,X,,,,S,,9,US
IA,ANKENY,QAKI,,,4144N,09337W,310,X,,,,S,,9,US
IA,ALBIA,QALI,,,4102N,09249W,312,X,,,,S,,9,US
IA,AMES,QAMI,,,4203N,09338W,309,X,,,,S,,9,US
IA,ANITA,QATI,,,4127N,09446W,387,X,,,,S,,9,US
IA,AUDUBON,QAUI,,,4143N,09455W,426,X,,,,S,,9,US
IA,BEDFORD,QBDI,,,4040N,09443W,350,X,,,,S,,9,US
IA,BELMOND,QBKI,,,4251N,09336W,372,X,,,,S,,9,US
IA,BLOOMFIELD,QBMI,,,4045N,09225W,260,X,,,,S,,9,US
IA,BOONE,QBOI,,,4202N,09347W,353,X,,,,S,,9,US
IA,BROOKLYN,QBRI,,,4144N,09227W,280,X,,,,S,,9,US
IA,BUSSEY,QBSI,,,4113N,09253W,265,X,,,,S,,9,US
IA,BAXTER,QBXI,,,4150N,09309W,304,X,,,,S,,9,US
IA,BLANKPARKZOO,QBZI,,,4132N,09337W,294,X,,,,S,,9,US
IA,CARROLL,QCAI,,,4204N,09452W,423,X,,,,S,,9,US
IA,COONRAPIDS,QCBI,,,4153N,09441W,386,X,,,,S,,9,US
IA,CHARLESCITY,QCCI,,,4304N,09240W,304,X,,,,S,,9,US
IA,CORYDON,QCDI,,,4045N,09319W,331,X,,,,S,,9,US
IA,CENTERVILLE,QCEI,,,4044N,09252W,299,X,,,,S,,9,US
IA,CLARION,QCGI,,,4244N,09344W,377,X,,,,S,,9,US
IA,CHARITON,QCHI,,,4101N,09319W,332,X,,,,S,,9,US
IA,CLEARLAKE,QCKI,,,4308N,09322W,368,X,,,,S,,9,US
IA,CRESCO,QCQI,,,4323N,09206W,390,X,,,,S,,9,US
IA,CORNING,QCNI,,,4059N,09444W,390,X,,,,S,,9,US
IA,COLO,QCOI,,,4201N,09319W,315,X,,,,S,,9,US
IA,CRESTON,QCRI,,,4104N,09422W,417,X,,,,S,,9,US
IA,INWOOD,QCSI,,,4319N,09626W,449,X,,,,S,,9,US
IA,DSMCHRISTIAN,QDCI,,,4138N,09348W,279,X,,,,S,,9,US
IA,SHELDON,QDNI,,,4311N,09550W,433,X,,,,S,,9,US
IA,RIVERWOODS,QDRI,,,4134N,09335W,304,X,,,,S,,9,US
IA,EAGLEGROVE,QEGI,,,4240N,09355W,339,X,,,,S,,9,US
IA,FARNHAMVILLE,QFAI,,,4220N,09425W,374,X,,,,S,,9,US
IA,FORESTCITY,QFCI,,,4316N,09339W,384,X,,,,S,,9,US
IA,FORTDODGE,QFDI,,,4231N,09411W,353,X,,,,S,,9,US
IA,FONTANELLE,QFOI,,,4117N,09434W,423,X,,,,S,,9,US
IA,GLIDDEN,QGLI,,,4204N,09444W,387,X,,,,S,,9,US
IA,GARNER,QGNI,,,4305N,09337W,373,X,,,,S,,9,US
IA,GRIMES,QGRI,,,4141N,09348W,310,X,,,,S,,9,US
IA,HULL,QHII,,,4311N,09608W,436,X,,,,S,,9,US
IA,HAMPTON,QHPI,,,4245N,09311W,328,X,,,,S,,9,US
IA,HUMBOLDT,QHUI,,,4243N,09414W,379,X,,,,S,,9,US
IA,ICA,QIAI,,,4135N,09344W,285,X,,,,S,,9,US
IA,IOWAFALLS,QIFI,,,4232N,09316W,376,X,,,,S,,9,US
IA,INDIANOLA,QINI,,,4122N,09333W,310,X,,,,S,,9,US
IA,JORDANCREEK,QJCI,,,4134N,09346W,283,X,,,,S,,9,US
IA,JEFFERSON,QJEI,,,4200N,09423W,338,X,,,,S,,9,US
IA,SOUTHHAMILTON,QJWI,,,4218N,09339W,340,X,,,,S,,9,US
IA,KCCI,QKCI,,,4135N,09338W,274,X,,,,S,,9,US
IA,KNOXVILLE,QKNI,,,4119N,09307W,301,X,,,,S,,9,US
IA,KANAWHA,QKWI,,,4256N,09347W,369,X,,,,S,,9,US
IA,LEON,QLEI,,,4045N,09344W,365,X,,,,S,,9,US
IA,LATIMER,QLMI,,,4245N,09322W,398,X,,,,S,,9,US
IA,LAMONI,QLOI,,,4038N,09356W,359,X,,,,S,,9,US
IA,LUVERNE,QLUI,,,4255N,09405W,360,X,,,,S,,9,US
IA,ROCKRAPIDS,QLYI,,,4325N,09610W,410,X,,,,S,,9,US
IA,MARSHALLTOWN,QMAI,,,4201N,09255W,314,X,,,,S,,9,US
IA,MADRID,QMDI,,,4153N,09349W,310,X,,,,S,,9,US
IA,LAKEMILLS,QMII,,,4325N,09332W,393,X,,,,S,,9,US
IA,MALLARD,QMLI,,,4256N,09441W,387,X,,,,S,,9,US
IA,MONTEZUMA,QMNI,,,4135N,09231W,309,X,,,,S,,9,US
IA,MOUNTAYR,QMOI,,,4043N,09414W,396,X,,,,S,,9,US
IA,MANSON-NW,QMSI,,,4230N,09422W,368,X,,,,S,,9,US
IA,MURRAY,QMUI,,,4102N,09357W,365,X,,,,S,,9,US
IA,MASONCITY,QMWI,,,4308N,09314W,357,X,,,,S,,9,US
IA,MASONCITY,QMYI,,,4309N,09310W,335,X,,,,S,,9,US
IA,NEWTON,QNEI,,,4142N,09302W,305,X,,,,S,,9,US
IA,THOMPSON,QNII,,,4322N,09342W,384,X,,,,S,,9,US
IA,NORTHWOOD,QNKI,,,4327N,09312W,371,X,,,,S,,9,US
IA,NORASPRINGS,QNSI,,,4309N,09300W,332,X,,,,S,,9,US
IA,NEVADA,QNVI,,,4201N,09326W,313,X,,,,S,,9,US
IA,OSAGE,QOAI,,,4317N,09249W,353,X,,,,S,,9,US
IA,OSKALOOSA,QOCI,,,4118N,09239W,245,X,,,,S,,9,US
IA,OGDEN,QOGI,,,4202N,09402W,332,X,,,,S,,9,US
IA,OSCEOLA,QOSI,,,4102N,09346W,353,X,,,,S,,9,US
IA,PANORA,QPAI,,,4142N,09422W,356,X,,,,S,,9,US
IA,PELLA,QPEI,,,4125N,09254W,289,X,,,,S,,9,US
IA,NORTHPOLK,QPKI,,,4147N,09343W,286,X,,,,S,,9,US
IA,PERRY,QPYI,,,4150N,09405W,312,X,,,,S,,9,US
IA,MASONCITY,QRMI,,,4308N,09306W,328,X,,,,S,,9,US
IA,ROCKWELLCITY,QROI,,,4223N,09438W,384,X,,,,S,,9,US
IA,ROCKFORD,QRRI,,,4303N,09256W,316,X,,,,S,,9,US
IA,ROCKWELL,QRSI,,,4259N,09306W,351,X,,,,S,,9,US
IA,RUSSELL,QRUM,,,4419N,09557W,466,X,,,,S,,9,US
IA,RICEVILLE,QRVI,,,4321N,09230W,382,X,,,,S,,9,US
IA,STANSGAR,QSAI,,,4322N,09255W,358,X,,,,S,,9,US
IA,SIBLEY,QSBI,,,4324N,09545W,462,X,,,,S,,9,US
IA,STUART,QSTI,,,4130N,09419W,367,X,,,,S,,9,US
IA,SULLY,QSUI,,,4134N,09250W,289,X,,,,S,,9,US
IA,TITONKA,QTKI,,,4314N,09402W,348,X,,,,S,,9,US
IA,MESKWAKISSTAMA,QTQI,,,4159N,09239W,256,X,,,,S,,9,US
IA,UNION,QUNI,,,4214N,09304W,301,X,,,,S,,9,US
IA,VENTURA,QVTI,,,4308N,09329W,386,X,,,,S,,9,US
IA,WALLLAKE,QWAI,,,4216N,09506W,426,X,,,,S,,9,US
IA,WEBSTERCITY,QWBI,,,4228N,09349W,345,X,,,,S,,9,US
IA,WOODWARD,QWGI,,,4152N,09355W,291,X,,,,S,,9,US
IA,WINTERSET,QWII,,,4120N,09401W,356,X,,,,S,,9,US
IA,POCAHONTAS,QPCI,,,4244N,09440W,372,X,,,,S,,9,US
ID,ADACOUNTY/BOISE,KCBX,CBX,,4329N,11614W,933,,X,,,,,8,US
ID,BOISE,KBOI,BOI,72681,4334N,11614W,875,X,,U,X,A,F,0,US
ID,BURLEY,KBYI,BYI,,4233N,11346W,1264,X,,T,,A,,6,US
ID,BONNERSFERRY,K65S,65S,,4844N,11618W,713,X,,,,,,8,US
ID,CALDWELL,KEUL,EUL,,4337N,11637W,740,X,,,,,,7,US
ID,CHALLIS,KLLJ,LLJ,,4431N,11413W,1536,X,,,,A,,7,US
ID,COEURD'ALENE,KCOE,COE,,4746N,11649W,707,X,,T,,W,,4,US
ID,DRIGGSREEDMEM,KDIJ,DIJ,,4345N,11106W,1899,X,,,,,,7,US
ID,DUBIOS(VOR),KDBS,DBS,,4405N,11213W,1638,,,V,,,,8,US
ID,GRANGEVILLE,KGIC,GIC,72687,4556N,11608W,1009,X,,,,,,7,US
ID,HAILEY/FRIEDMAN,KSUN,SUN,,4330N,11417W,1620,X,,T,,,,6,US
ID,IDAHOFALLS,KIDA,IDA,,4331N,11204W,1453,X,,T,,A,,6,US
ID,JEROMECOUNTY,KJER,JER,,4243N,11427W,1222,X,,T,,,,7,US
ID,LEWISTON,KLWS,LWS,72783,4622N,11701W,438,X,,T,,A,,6,US
ID,LOWELL/ELKCITY,KP69,P69,,4609N,11536W,480,X,,,,A,,7,US
ID,MALADCITY,KMLD,MLD,,4210N,11217W,1373,X,,V,,,,6,US
ID,MALTA(AWRS),K77M,77M,,4219N,11319W,1375,X,,,,,,7,US
ID,MCCALL,KMYL,MYL,,4454N,11606W,1533,X,,T,,A,,6,US
ID,MCCALL(VOR),KDNJ,DNJ,,4446N,11613W,2433,,,V,,,,8,US
ID,MOUNTAINHOME,KMUO,MUO,,4302N,11552W,913,X,,T,,,,6,US
ID,MULLANPASS,KMLP,MLP,,4727N,11540W,1837,X,,V,,A,,6,US
ID,NAMPA,KMAN,MAN,,4335N,11631W,774,X,,,,,,8,US
ID,POCATELLO,KPIH,PIH,72578,4255N,11234W,1359,X,,U,,A,F,3,US
